p1,p2,p3,event,classical_width,improved_width,width_reduction
0.14,0.905,0.55,or,0.09499999999999997,0.013299999999999979,0.0817
0.14,0.95,0.55,and,0.14,0.007000000000000006,0.133
0.14,0.95,0.55,or,0.050000000000000044,0.007000000000000006,0.04300000000000004
0.185,0.05,0.55,and,0.05,0.00925,0.04075
0.185,0.05,0.55,or,0.235,0.00924999999999998,0.22575
0.185,0.095,0.55,and,0.095,0.017575,0.077425
0.185,0.095,0.55,or,0.28,0.017575000000000007,0.262425
0.185,0.14,0.55,and,0.14,0.025900000000000003,0.11410000000000001
0.185,0.14,0.55,or,0.32499999999999996,0.025900000000000034,0.2990999999999999
0.185,0.185,0.55,and,0.185,0.034225000000000005,0.150775
0.185,0.185,0.55,or,0.37,0.03422500000000028,0.3357749999999997
0.185,0.22999999999999998,0.55,and,0.185,0.04255,0.14245
0.185,0.22999999999999998,0.55,or,0.41500000000000004,0.04255000000000009,0.37244999999999995
0.185,0.27499999999999997,0.55,and,0.185,0.050875,0.134125
0.185,0.27499999999999997,0.55,or,0.44999999999999996,0.050875000000000004,0.39912499999999995
0.185,0.32,0.55,and,0.185,0.0592,0.1258
0.185,0.32,0.55,or,0.44999999999999996,0.05919999999999992,0.39080000000000004
0.185,0.365,0.55,and,0.185,0.06752500000000002,0.11747499999999998
0.185,0.365,0.55,or,0.44999999999999996,0.06752500000000017,0.3824749999999998
0.185,0.41,0.55,and,0.185,0.07585,0.10915
0.185,0.41,0.55,or,0.44999999999999996,0.07584999999999997,0.37415
0.185,0.45499999999999996,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.185,0.45499999999999996,0.55,or,0.44999999999999996,0.08324999999999982,0.36675000000000013
0.185,0.49999999999999994,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.185,0.49999999999999994,0.55,or,0.44999999999999996,0.08324999999999982,0.36675000000000013
0.185,0.545,0.55,and,0.185,0.08324999999999999,0.10175000000000001
0.185,0.545,0.55,or,0.44999999999999996,0.08325000000000005,0.3667499999999999
0.185,0.5900000000000001,0.55,and,0.185,0.07584999999999999,0.10915000000000001
0.185,0.5900000000000001,0.55,or,0.4099999999999999,0.07584999999999997,0.33414999999999995
0.185,0.635,0.55,and,0.185,0.067525,0.117475
0.185,0.635,0.55,or,0.365,0.06752499999999984,0.29747500000000016
0.185,0.68,0.55,and,0.185,0.0592,0.1258
